Timestamp,Action,Word,Status,MemoryOffset
2026-04-17 13:50:59,MemoryScan,V1_BOUNDS_BYPASS,Extracted,NOT_FOUND
2026-04-17 13:50:59,MemoryScan,V2_BTB_INJECTION,Extracted,NOT_FOUND
2026-04-17 13:51:13,MemoryScan,V1_BOUNDS_BYPASS,Extracted,NOT_FOUND
2026-04-17 13:51:13,MemoryScan,V2_BTB_INJECTION,Extracted,NOT_FOUND
2026-04-17 13:51:30,MemoryScan,V1_BOUNDS_BYPASS,Extracted,NOT_FOUND
2026-04-17 13:51:30,MemoryScan,V2_BTB_INJECTION,Extracted,NOT_FOUND
2026-04-17 13:51:30,MemoryScan, DATA,Extracted,NOT_FOUND
2026-04-17 14:10:59,MemoryScan,V1_BOUNDS_BYPASS,Extracted,NOT_FOUND
2026-04-17 14:10:59,MemoryScan,V2_BTB_INJECTION,Extracted,NOT_FOUND
2026-04-17 14:17:21,MemoryScan,V1_BOUNDS_BYPASS,Extracted,NOT_FOUND
2026-04-17 14:17:21,MemoryScan,V2_BTB_INJECTION,Extracted,NOT_FOUND
2026-04-17 14:17:28,MemoryScan,V1_BOUNDS_BYPASS,Extracted,NOT_FOUND
2026-04-17 14:17:28,MemoryScan,V2_BTB_INJECTION,Extracted,NOT_FOUND
2026-04-17 14:17:28,MemoryScan, DATA,Extracted,NOT_FOUND
2026-04-17 14:17:36,MemoryScan,V1_BOUNDS_BYPASS,Extracted,NOT_FOUND
2026-04-17 14:17:36,MemoryScan,V2_BTB_INJECTION,Extracted,NOT_FOUND
2026-04-17 14:17:36,MemoryScan,DATA,Extracted,NOT_FOUND
2026-04-17 14:18:15,Variant1,V1_BOUNDS_BYPASS,Registry_Injected,N/A
2026-04-17 14:18:25,Variant2,V2_BTB_INJECTION,Registry_Injected,N/A
2026-04-17 14:18:35,MemoryScan,V1_BOUNDS_BYPASS,Extracted,NOT_FOUND
2026-04-17 14:18:35,MemoryScan,V2_BTB_INJECTION,Extracted,NOT_FOUND
2026-04-17 14:18:35,MemoryScan,DATA,Extracted,NOT_FOUND
2026-04-17 14:18:39,MemoryScan,V1_BOUNDS_BYPASS,Extracted,NOT_FOUND
2026-04-17 14:18:39,MemoryScan,V2_BTB_INJECTION,Extracted,NOT_FOUND
2026-04-17 14:18:39,MemoryScan,DATA,Extracted,NOT_FOUND
2026-04-17 14:18:40,MemoryScan,V1_BOUNDS_BYPASS,Extracted,NOT_FOUND
2026-04-17 14:18:40,MemoryScan,V2_BTB_INJECTION,Extracted,NOT_FOUND
2026-04-17 14:18:40,MemoryScan,DATA,Extracted,NOT_FOUND
2026-04-17 14:18:41,MemoryScan,V1_BOUNDS_BYPASS,Extracted,NOT_FOUND
2026-04-17 14:18:41,MemoryScan,V2_BTB_INJECTION,Extracted,NOT_FOUND
2026-04-17 14:18:41,MemoryScan,DATA,Extracted,NOT_FOUND
2026-04-17 14:18:49,MemoryScan,V1_BOUNDS_BYPASS,Extracted,NOT_FOUND
2026-04-17 14:18:49,MemoryScan,V2_BTB_INJECTION,Extracted,NOT_FOUND
2026-04-17 14:18:49,MemoryScan,DATA,Extracted,NOT_FOUND
2026-04-17 14:19:01,MemoryScan,DATA,Extracted,NOT_FOUND
